Screen title @ Exact,Commercial title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
BS Marvelous: Time Athletic (Dai-3-shū)@BS マーヴェラス タイムアスレチック (第3週),,bsmarveloustimeathletic,Japan,1996-01-21,Nintendo/SRD,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,fe298ad84369e74488d8811ce9d0053b,6025b65a0aa2b0be7ee6e6b50b09a9295137d85a,912fccfc620f9dc88f18b5cf4cbc0141422142e422adc8337d6264e421a023e7,5e8af85bcc3461b391e09b0db0b5287da9744ae6b6ad1b3056d247f44688bfd75f01d2311333202ac9cae61feb065a7f341f6329eb5bca3cffd6a072c966c0fe
BS Marvelous: Time Athletic (Dai-4-shū)@BS マーヴェラス タイムアスレチック (第4週),,bsmarveloustimeathletic,Japan,1996-01-28,Nintendo/SRD,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,220856f75373954fce352c6f5d94b597,374b3edc9e0b0d2438f4457481cbc8095a566cce,f8774dae06a0c1647a3e563c1a6357ca098280cd8de7baa608eafafb166f48cc,05a082859475cc1703673ee687709037da36582460c8786a2bdc7a190ed18517e0fbcf4eece3eb9d44cc3fbc1a1eb81b786a07ac32d272edef26a7822bba8502
BS Nichibutsu Mahjong (Ichimantō)@BS ニチブツマージャン (一萬塔),,bsnichibutsumahjong,Japan,1997-01-26,Nihon Bussan,Nintendo,#players:1 #genre:board>mahjong #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,f7f707838c5d442d0986f0e411d523a5,2a436742d3ac49c79eda1be3ff74c84579738896,5e0f9bf9bd73b20459372689f85bbfdb06204c6b72b3332bcc95fdb0f187f6b5,2839d10f1cb4af1b201560c8cac454195fdb1b0cbde5a406dadec735d4b8b1d406054674435f0f75260c3abff03e2b60fd3a7d16dd2ee92ca9a9101bb6f24d5b
BS Nichibutsu Mahjong (Nimantō)@BS ニチブツマージャン (ニ萬塔),,bsnichibutsumahjong,Japan,1997-02-02,Nihon Bussan,Nintendo,#players:1 #genre:board>mahjong #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,d632edc8cd733894ccf9438a67a98d4b,ba28d3dee878c11a2a83cde7190730b88885b67e,4e73b5721b2f92880a2fe5739c75645985f40d0f7501f16073740dd5b50fb492,924c7d574bc14b611bfddadbb70dc25a9a4f7070df974db577545c2023a5943b9c9748e4b648ed5f13aaaa0f0ad59e80a4954a271aa5c2fe18753a022d72fd3d
BS Parlor! Parlor! (Dai-1-shū)@BS Parlor!パーラー (第1週),,bsparlor,Japan,1998-03-01,Telenet,Nintendo,#players:1 #genre:parlor>pachinko>jackpot #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,b1da15a76b46f6f534c3dd37d183c51e,2d011b6960d1dd75696f61d23ba6b5abe8130234,edfeb794b07c2bab7a8457e9a1bcaf6ffc3a3423d45884017bc0233c61f20f9e,49d2800dc73556e93de4e0e347a1d413468587245a9e64d61ee8021e08884ea63fb3cf70886b336330e4dfd86fe816d4393921dc84d218eb0039b3704706de14
BS Parlor! Parlor! (Dai-2-shū) (3-13)@BS Parlor!パーラー (第2週) (3-13),,bsparlor,Japan,1998-03-08,Telenet,Nintendo,#players:1 #genre:parlor>pachinko>jackpot #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,b1da15a76b46f6f534c3dd37d183c51e,2d011b6960d1dd75696f61d23ba6b5abe8130234,edfeb794b07c2bab7a8457e9a1bcaf6ffc3a3423d45884017bc0233c61f20f9e,49d2800dc73556e93de4e0e347a1d413468587245a9e64d61ee8021e08884ea63fb3cf70886b336330e4dfd86fe816d4393921dc84d218eb0039b3704706de14
BS Parlor! Parlor! (Dai-2-shū) (5-13)@BS Parlor!パーラー (第2週) (5-13),,bsparlor,Japan,1998-03-08,Telenet,Nintendo,#players:1 #genre:parlor>pachinko>jackpot #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,1ebf70be8a08e17f89fa903d017514e8,12acd209c5bd7875b2e01ad25253f96695c3f1b8,183a9fac70c9a335e0b21d449c581b84400ce89ae35be1455cafa478b7e11fb0,46b7a079cb8ce52c45f9721262f0540b0b7cd430cdebd008cc074ad61cdaccc6c285ea95161a30b855c1211c384a734623dd808dd8a3488aaa0859f3671c616c
BS Shin Onigashima (Dai-1-wa)@BS 新・鬼ヶ島 (第1話),,shinonigashima,Japan,1996-09-29,Nintendo,Nintendo,#players:1 #genre:adventure>visualnovel #addon:online>satellaview #compatibility:superfamicom>soundlink #port:nintendo>famicom #lang:ja,ed11cd88da8985aa345e4572c2e45cc8,f842884cebf7e1fee7f23d7dcacecd7a5b01cc35,b64a91ebd64f4f0feb13ca7bca8c382cf495afad7e043c73a26f325e5dbd965a,a4ebe8cea13adba740836b66ad1e03ea4796492d1d4b5f288f1182df8f1e048918d00dd5067d3bf8bf5ca9acc7dfe3780ee9de3de729b1565657e04f9fc22488
BS Shin Onigashima (Dai-2-wa)@BS 新・鬼ヶ島 (第2話),,shinonigashima,Japan,1996-10-06,Nintendo,Nintendo,#players:1 #genre:adventure>visualnovel #addon:online>satellaview #compatibility:superfamicom>soundlink #port:nintendo>famicom #lang:ja,67d0ee2b18c696cf0e611c34ca363a69,a94e9367db4c8af243da85e63142987540e7fb1c,a268df9b6e6033213b6e4f4a339b1632310c1f59395375da6d361b4511c140f4,29fe8eef585b445c908088dcc12dbdd3451b4dcde758b2a924f087f4d0d980fc5db7f5d2be1f8414b3916044250e2b1322f4494ac37494dce60eaa08b96ac17c
BS Shin Onigashima (Dai-3-wa)@BS 新・鬼ヶ島 (第3話),,shinonigashima,Japan,1996-10-13,Nintendo,Nintendo,#players:1 #genre:adventure>visualnovel #addon:online>satellaview #compatibility:superfamicom>soundlink #port:nintendo>famicom #lang:ja,66427eff5c50838769ef499240868c1a,c0546cbaf4780df086f7c9a65b06a701bf318991,61d0177003125ab685260876585f475aa2ae41d84245a7663fdbb407a8fa6b04,43ba46cbd2f810289e3b81497327042e09621189c3a60cb48953d0b84315820ea2fd4b971cc48b7229a535e4e6706265071202e4a11f90c5e174b31c53be0ffc
