Screen title,Screen title (exact),Flyer title,Flyer title (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
LD Quiz Dai-1-dan: Quiz de Date,LDクイズ クイズdeデート,LD Quiz Dai-1-dan: Quiz de Date,LDクイズ クイズdeデート,ldquizdaiichidanquizdedate,Japan,1991-05,AV Japan,Nichibutsu,#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Quiz Dai-2-dan: Miracle Q,LDクイズ ミラクルQ,LD Quiz Dai-2-dan: Miracle Q,LDクイズ ミラクルQ,ldquizdainidanmiracleq,Japan,1991-08,AV Japan,Nichibutsu,#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Quiz Dai-3-dan: Mō Kotaezu ni wa Irarenai!,LDクイズ もう答えずにはいられない!,LD Quiz Dai-3-dan: Mō Kotaezu ni wa Irarenai!,LDクイズ もう答えずにはいられない!,ldquizdaisandanmoukotaezuniwairarenai,Japan,1991-11,AV Japan,Nichibutsu,#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Quiz Dai-4-dan: Kotaetamon Gachi!,LDクイズ 第4弾 答えたもん勝ち!,LD Quiz Dai-4-dan: Kotaetamon Gachi!,LDクイズ 第4弾 答えたもん勝ち!,ldquizdaiyondankotaetamongachi,Japan,1992-08,AV Japan,Nichibutsu,#input:buttons>4 #players:2:vs #genre:quiz #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:ldquiz4,f2fe324451622820dfba420c99e9c774,7b3639f30be58985c045240ae429707c41cde22b,2ec32caeea32458f7eacc10c84b97070c0dbf35333c423512cbdab45de0cb3df,a3394175a0610be6b0667a5b4295b97c4b7ee69ed665fe87b77b5aa333070fcb5b7677170371af48f29af5abcb5619c92c44d0081063f98118ddee965107a1a3
Libery 7,=,Libery 7,Libery 7 リバティ・セブン,liberty7,Japan,1985,Nihon Bussan,Nichibutsu,#input:buttons>4 #players:1 #genre:parlor>jackpot:board>cards #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
Liberty Bell,=,Liberty Bell,Liberty Bell リバティ・ベル,livertybell,Japan,1985,Nihon Bussan,Nichibutsu,#input:buttons>3 #players:1 #genre:parlor>jackpot:board>cards #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
Live-Gal,=,Live-Gal,=,livegal,Japan,1987-05-30,Central Denshi,Central Denshi,#input:keyboard>mahjong #players:2:vs #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:livegal,ae180aca89ade7c697a7d6a56e70d3e0,1fd1c6c53c8f59dfb3c27ad8cbec4950b3cfc3be,edff57ce12e5c8f620924fbc94f34a3750ac30962cc0f0f802c4d9658025194a,6b17c85ee343f6caced6a8e790d09b7a1db48ab7577d8383922bd08ed36533b7416358f6eb8ec86dfb1ba36de4c134df3678977f2811799e71eaea5262fb46c6
Lucky Girl,=,Lucky Girl,=,luckygirl,Japan,1985,Wing,Wing,#input:buttons>5 #players:1 #genre:board>cards #arcadeboard:nichibutsu #search:keyword>strip #lang:en #mameparent #mamerom:luckygrl,accfb2df8333cc068090f427bb8c8a4e,700ef5aadb0637353af0c9b2990f7e74e652730f,deac5d31f26280c25889e94baed6372348ff15fbcf45b8c4e32e69d19f63b755,197119b06e1b58afa4c17c1dd0addddc866059a32411549892a0b42d2519e62b4c6c96a39c00ffe1b0365ddbe93238eb80bcdb0fed2608c60890075e242a9ff9
Mag-Max,=,Mag-Max,Mag-Max マグマックス,magmax,Japan,1985-03-18,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>1 #players:2:alt #genre:shmup>h #arcadeboard:nichibutsu #set:1 #lang:en #mameparent #mamerom:magmax,6a4308f1f1bdbf83d622eabf14069562,224c50594bc4ba96096373592af99eb0d56c33bc,baeef03771e26a3710bb5135ac477f2d9cc9557b053a553170d32e42d2ca93e5,132989c04a6aae9ae6a387f3fa02d1bfccd3dfb3e711fd3924663a33717decbbebc455687b69560ac4925775ec22edb4330e2333d41d94c25806bda5158e7027
Mag-Max,=,Mag-Max,Mag-Max マグマックス,magmax,Japan,1985,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>1 #players:2:alt #genre:shmup>h #arcadeboard:nichibutsu #set:2 #lang:en #mamerom:magmax>magmaxa,6a4308f1f1bdbf83d622eabf14069562,224c50594bc4ba96096373592af99eb0d56c33bc,baeef03771e26a3710bb5135ac477f2d9cc9557b053a553170d32e42d2ca93e5,132989c04a6aae9ae6a387f3fa02d1bfccd3dfb3e711fd3924663a33717decbbebc455687b69560ac4925775ec22edb4330e2333d41d94c25806bda5158e7027
