Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Violent Soldier,Violent Soldier@Violent Soldier バイオレント・ソルジャー,violentsoldier,Japan,1990-12-14,Alfa System,IGS,#players:1 #genre:shmup>h #lang:en,6e1f6d152f17b6008d1968d016c34a1a,76581fe7acb707b1e5bab2ac27cd27e3ed06078a,63f78218d18ded32fa291a6ad26c2c8812c623d3c61cd934cc9676a8d8e47740,948a11b48ae31b15d39d7a19bb22d3ef390456f494b5f1cc7769f7e48c023edc4e2a2117e20564b3955e3937d463deb9b022183a6775434cd5e73b8cf32f28aa
Volfied,Volfied@Volfied ヴォルフィード,volfied,Japan,1989-12-27,ITL,Taito,#players:1 #genre:action:puzzle #port:arcade #lang:en,998cfe18bf12b235462d21eb6d80c25f,0ecee557815b93fc37f2f5675c2c01c77ef8569e,bddf46819ad75331ac907c64a83e352e0d1e8b2e642ae680a8ef7cfaacb4880a,8a8bcddbfb1a33dd76bdb04949ee5610f6e9ea0884ccad2c6c6c8692d6b5b04d5af8053ea5b19a24ff575663d6d91bb6b1e17874d60b9b4f1832d2848f6908ba
Wai Wai Mahjong: Yukai na Janyū-tachi@わいわい麻雀 ゆかいな雀友たち,Wai Wai Mahjong: Yukai na Janyū-tachi@わいわい麻雀 ゆかいな雀友たち,waiaimahjongyukainajanyuutachi,Japan,1989-06-19,Video System,Video System,#players:1 #genre:board>mahjong #lang:ja,7b0ed7b884b3d6690c3a586c682f3adc,8f478a023a97b0979232f1e296bbf0a6c0b2ef8b,120aa366e1894f9bdc425507583a4ea487f1176428778251030d97b762fc25ce,5c6719fcf77e782020a72aa1527bc86c994f32541be1bc3b969d2ac0a5fffb271ef03754a7d8f2fbe068345ffd68046006e6d86ef0c364d4536f82757a00fca5
Wallaby!! Usagi no Kuni no Kangaroo Race@Wallaby!! ワラビー ウサギの国のカンガルーレース,Wallaby!!@Wallaby!! ワラビー,wallaby,Japan,1990-12-14,Tenky,NCS,#players:1 #genre:lifesim:racing #addon:tennokoe #save:backup #lang:ja,597331c0b7cf491d042a055ed1e2ab9e,03ad5a8b2bb65eabebe73c1e2ca1e1846cc172bf,fec522ab9fe4474338138341b21dd593844f8a6eb0227d96f72133a9f8e9efa2,d4c2bcf3f19baa8041091e4cbdc87b621643d53f185cf07581b3c77c869cb04adeb2f9936a8124b85729a1ade4d4602d2605d4c2686f723c71641dfd8fc78065
Winning Shot,Winning Shot@Winning Shot ウイニングショット,winningshot,Japan,1989-03-03,Data East,Data East,#players:4:vs #genre:sports>golf #addon:pcemultitap #save:password #lang:ja,039fb7644dc73ded9744a1d73fde9e72,039ff38e6221b4b7722144e85dc7c84873d7efe6,96f41bd8e07a8a745e7fee4999e2726dfcd39c10c829cb71f759ce2f0173efcd,ee053547dcac754361eda3be27b3621a4a96a596f47a05997965ff24a1211b1ba24124e0d6f41f81baeff1204ad395215845fc522c94ba8b0ade2af930de6547
Wonder Momo@ワンダーモモ,Wonder Momo@ワンダーモモ,wondermomo,Japan,1989-04-21,NAMCO,NAMCO,#players:1 #genre:hackandslash #lang:ja,367c426ccd7b9ce45e86a836d83d17db,5af6050a0a549e73f05a2d06fd2f55a93027be5f,029eb44602a859543516ebc9dab20bf109f8e64f56fb4aab887bb7489f1cd352,c2af9606ce09bfcda9fe807e8fc42fd1d9720bd40f77f0c1892a1a896a2d1ad2bf3ba12ab69aaabeae7881bc8907566ae464be0e4697818e9432f35e540a7fea
World Beach Volley,World Beach Volley@World Beach Volley ワールドビーチバレー,worldbeachvolley,Japan,1990-07-27,IGS,IGS,#players:4:coop:vs #genre:sports>volleyball #addon:pcemultitap #save:password #lang:en,01b12cf69e894990d7184b308890b1b2,8aa42b9024820e7e503e9b9e8ac05e424643ef81,3c0722c1095b50938da060119d0b63732a2b3623072f01376d99bb5f8fc18007,7787ac1e36a8798cf294a6128f6bf1833eb250596bbe74521adeaf581273cf6c89095efbeb6842124e688694d17a0f79f864bd5d5cc1c04358a76b6a9f6de97f
World Circuit@ワールドサーキット,World Circuit@ワールドサーキット,worldcircuit,Japan,1991-10-18,Game Studio,NAMCOT,#players:1 #genre:racing #save:password #lang:ja,f6402df31096393d038585bdeafe44d5,18909a1215da66f6d16eab4251b574b86d2b748e,8107282b3b8797a7ca7ea0291145a379d60ac117301c65f43cf004e68b71dbfa,4b845cf4902f0d45c728cb8691385f88f15c0cb4131271b1adf611760f110ad1b19fb8d8868489978c86737c8f26adafe9c8261b7b6f5d2aa74954dcc1f88f3c
World Jockey@ワールドジョッキー,World Jockey@ワールドジョッキー,worldjockey,Japan,1991-09-20,NAMCO,NAMCOT,#players:4:vs #genre:derby:racing #addon:pcemultitap #lang:ja,5614339b28e660212ab596311f4f59d3,9fdeb0c34ea8b8d2a09aeb476435ef9d92e75573,5d6d21bafad1daddce338da166b3258210b5c03e5cfbab835c41ed694986c7bb,9bcd17320eae04f9a7ddc3a43547db6c4b41405640cb254fca8c87eca529dba368aa511dd6adcfe18a94eb76c8edbba02e4d0b1b42a503de704e5cce2353eafb
W Ring: The Double Rings,W Ring: Double Ring@W Ring ダブルリング,wringthedoublerings,Japan,1990-09-28,Naxat,Naxat,#players:1 #genre:shmup>h #lang:en,7c5f8476e6b5ec9e56f4b67a00f022e7,95d0a95ce9f08da3f096cfdc654ba5dfeb794add,3fa8da5f2d54bcd7aff9bf420692778e2c3870300822e796ecb8433479b8d627,e0ce04bb5f1cf956157da5cdf6d32536099009e9f24947a81a508b8254ba147812d27ea9e7649edabba0b4118ae769407c583d821c7fdae97ede487e69707a69
Xevious: Fardraut Saga@Xevious ゼビウス ファードラウト伝説,Xevious: Fardraut Saga@Xevious ゼビウス ファードラウト伝説 サーガ,xeviousfardrautsaga,Japan,1990-06-29,Compile,NAMCOT,#players:1 #genre:shmup>v #port:arcade #lang:ja,4ec600e148ca399c1c1f215949430129,13da0500ace1957d0748b11dfaae68e40e71230e,35ccd3f4ddd229cb5795604acf3ce59aa683030078c5a5351d1df0d4e424a779,9856996f11f87ed27929a5fc92fe659da594242e554f14b161389f46f07655df21b2bec2b962505b997239c1c4269ecd01bce0d91cd006d383d89a9d32797405
Yōkai Dōchūki@妖怪道中記,Yōkai Dōchūki@妖怪道中記,youkaidouchuuki,Japan,1988-02-05,TOSE,NAMCOT,#players:1 #genre:runandgun:platformer #port:arcade #lang:ja,cd2c47eaeb842cbcfe2ebcbe5710bf61,a258201c6258c8e108c7ce80a39c456ef9116260,4dc80fe43008d28af00b82996b742d02403e704441c0ed432382a4f756324a3a,b2360db1e78babab4ac9965c55891fc6d4f4a191ec41491f01fc6fe89fe932c9a0935e7586b2e0987f396803f1790964a20951b0ec60fac4e60299899fdaa770
Victory Life: Yū-Yū Jinsei@Victory Life 遊々人生,Yū-Yū Jinsei,yuuyuujinsei,Japan,1988-04-22,Hudson,Hudson,#players:5:vs #genre:board #addon:pcemultitap #lang:ja,e25d51114a230e039f8dd3b761fd23d3,c59f0d5248373bc00ea19a9e4f08e461c27e5fea,98e17bb13d41fc737999c488a5db97360c11f67af408bcb71bbe35c003f0d738,2c06a768bb0fb4192cb81f26e0a5a25bfec3d110c5d5fca27b1ff4d0443a81b429be0b45a67dc83c10f12acf77c99d4302fdf411c43424fea97971737cadc616
Zero4 Champ@Zero4 Champ ゼロヨンチャンプ,Zero4 Champ@Zero4 Champ ゼロヨンチャンプ,zero4champ,Japan,1991-03-08,Media Rings,Media Rings,#players:2:vs #genre:racing #addon:pcemultitap:tennokoe #save:backup:password #lang:ja,a755177ecfe1910928fa74d818a10e7c,79d9878e285e426b9ca58e15249a1bc98186d4e9,e700c589c5ee878aeb78d15ca1c3cd955636200f03f3d73f3fe194623ecc9b71,22cdb0b9740e66a82b10a1a33ae9f7753df700fe47cfda4443ca6e4ce86d8e62450e50f77d22abde348c0c2b4b1322005dc0a135595300429f29b0e9533b2733
