Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Zen Nihon Joshi Pro Wres: Queen of Queens (Zenjo vs Zenjo Hen)@全日本女子プロレス Queen of Queens (全女vs全女編),Zen Nihon Joshi Pro Wres: Queen of Queens@全日本女子プロレス Queen of Queens クイーンオブクイーンズ,queenofqueens,Japan,1995-03-24,HuneX,NEC Home Electronics,#players:1 #genre:fighting:sports>wrestling #disc:1>2 #search:keyword>official #lang:ja
Zen Nihon Joshi Pro Wres: Queen of Queens (Zenjo vs KWP Hen)@全日本女子プロレス Queen of Queens (全女vsKWP編),Zen Nihon Joshi Pro Wres: Queen of Queens@全日本女子プロレス Queen of Queens クイーンオブクイーンズ,queenofqueens,Japan,1995-03-24,HuneX,NEC Home Electronics,#players:1 #genre:fighting:sports>wrestling #disc:2>2 #search:keyword>official #lang:ja
Zoku Hatsukoi Monogatari: Shūgaku Ryokō@続 初恋物語 修学旅行,Zoku Hatsukoi Monogatari: Shūgaku Ryokō@続 初恋物語 修学旅行,zokuhatsukoimonogatarisr,Japan,1996-06-06,Koga/Winds/Toshiki Hirano Office,NEC Home Electronics,#players:1 #genre:adventure>visualnovel:sim>date #save:backup #disc:1>2 #lang:ja
Zoku Hatsukoi Monogatari: Shūgaku Ryokō@続 初恋物語 修学旅行,Zoku Hatsukoi Monogatari: Shūgaku Ryokō@続 初恋物語 修学旅行,zokuhatsukoimonogatarisr,Japan,1996-06-06,Koga/Winds/Toshiki Hirano Office,NEC Home Electronics,#players:1 #genre:adventure>visualnovel:sim>date #save:backup #disc:2>2 #lang:ja
AnimeFreak FX Vol.1@アニメフリークFX AnimeFreak FX Vol.1,AnimeFreak FX Vol.1@アニメフリークFX AnimeFreak FX Vol.1,animefreakfxvol1,Japan,1995-08-12,HuneX,NEC Home Electronics,#players:1 #genre:notagame>slideshow:board:rhythm>karaoke #based:manganime #lang:ja
AnimeFreak FX Vol.2@アニメフリークFX AnimeFreak FX Vol.2,AnimeFreak FX Vol.2@アニメフリークFX AnimeFreak FX Vol.2,animefreakfxvol2,Japan,1995-12-22,HuneX,NEC Home Electronics,#players:1 #genre:notagame>slideshow:rhythm>karaoke #based:manganime #lang:ja
AnimeFreak FX Vol.3@アニメフリークFX AnimeFreak FX Vol.3,AnimeFreak FX Vol.3@アニメフリークFX AnimeFreak FX Vol.3,animefreakfxvol3,Japan,1996-04-05,HuneX,NEC Home Electronics,#players:1 #genre:notagame>slideshow:rhythm>karaoke #based:manganime #lang:ja
AnimeFreak FX Vol.4@アニメフリークFX AnimeFreak FX Vol.4,AnimeFreak FX Vol.4@アニメフリークFX AnimeFreak FX Vol.4,animefreakfxvol4,Japan,1999-02-28,HuneX,NEC Home Electronics,#players:1 #genre:notagame>slideshow #based:manganime #lang:ja
AnimeFreak FX Vol.5@アニメフリークFX AnimeFreak FX Vol.5,AnimeFreak FX Vol.5@アニメフリークFX AnimeFreak FX Vol.5,animefreakfxvol5,Japan,1997-08-29,HuneX,NEC Home Electronics,#players:1 #genre:notagame>slideshow:quiz #disc:1>2 #lang:ja
AnimeFreak FX Vol.5@アニメフリークFX AnimeFreak FX Vol.5,AnimeFreak FX Vol.5@アニメフリークFX AnimeFreak FX Vol.5,animefreakfxvol5,Japan,1997-08-29,HuneX,NEC Home Electronics,#players:1 #genre:notagame>slideshow:quiz #disc:2>2 #lang:ja
AnimeFreak FX Vol.6@アニメフリークFX AnimeFreak FX Vol.6,AnimeFreak FX Vol.6@アニメフリークFX AnimeFreak FX Vol.6,animefreakfxvol6,Japan,1998-02-27,HuneX,NEC Home Electronics,#players:1 #genre:notagame>slideshow #disc:1>2 #based:manganime #lang:ja
AnimeFreak FX Vol.6@アニメフリークFX AnimeFreak FX Vol.6,AnimeFreak FX Vol.6@アニメフリークFX AnimeFreak FX Vol.6,animefreakfxvol6,Japan,1998-02-27,HuneX,NEC Home Electronics,#players:1 #genre:notagame>slideshow #disc:2>2 #based:manganime #lang:ja
Ginga Ojōsama Densetsu Yuna FX: Kanashimi no Siren@銀河お嬢様伝説 Galaxy Fraulein ユナ♥ FX 哀しみのセイレーン,Ginga Ojōsama Densetsu Yuna FX: Kanashimi no Siren@銀河お嬢様伝説 Galaxy Fraulein ユナ♥ FX 哀しみのセイレーン,gingaojousamadensetsuyunafxkns,Japan,,Red/Will,Hudson,#players:1 #genre:adventure>visualnovel #save:backup #lang:ja #unfinished:sample
PC Engine Fan: Special CD-ROM Vol. 2,PC Engine Fan: Special CD-ROM Vol. 2,pcenginefanspecialcdrom2,Japan,1996-09,Tokuma Shoten,Tokuma Shoten,#players:1 #genre:adventure:rpg>j #multigame:compilation #save:backup #lang:ja #unfinished:demo
PC Engine Fan: Special CD-ROM Vol. 3,PC Engine Fan: Special CD-ROM Vol. 3,pcenginefanspecialcdrom3,Japan,1996-10,Tokuma Shoten,Tokuma Shoten,#players:1 #genre:shmup>v #lang:ja #unfinished:demo
Super PC Engine Fan Deluxe: Special CD-ROM Vol.1,Super PC Engine Fan Deluxe: Special CD-ROM Vol.1,superpcenginefandeluxespecialcdrom1,Japan,1997,Tokuma Shoten,Tokuma Shoten,#players:1 #genre:adventure>visualnovel:sim>date #multigame:compilation #lang:ja #unfinished:demo
Super PC Engine Fan Deluxe: Special CD-ROM Vol.2,Super PC Engine Fan Deluxe: Special CD-ROM Vol.2,superpcenginefandeluxespecialcdrom2,Japan,1997-03-01,Tokuma Shoten,Tokuma Shoten,#players:1 #genre:adventure>visualnovel:sim>date:rpg #multigame:compilation #lang:ja #unfinished:demo
