Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Ecco: The Tides of Time,Ecco: The Tides of Time,eccothetidesoftime,USA,1994-11,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #save:password #lang:en
Ecco: The Tides of Time,Ecco: The Tides of Time,eccothetidesoftime,USA,1994-11,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #save:password #lang:en #alt
Egawa Suguru no Super League CD@江川卓のSuper League CD,Egawa Suguru no Super League CD@江川卓のSuper League CD 江川卓のスーパー・リーグCD,egawasugurunosuperleaguecd,Japan,1993-08-06,SEGA,SEGA,#players:8:coop:vs #genre:sports>baseball #addon:megacd:backupramcart:segatap #save:backup #offical:sports #endorsed:celeb #lang:ja
ESPN Baseball Tonight,ESPN Baseball Tonight,espnbaseballtonight,Europe,1994,Sony Imagesoft,Sony Imagesoft,#players:2:vs #genre:sports>baseball #addon:megacd #port:megadrive #based #official:sports #lang:en
ESPN Baseball Tonight,ESPN Baseball Tonight,espnbaseballtonight,USA,1994-10,Sony Imagesoft,Sony Imagesoft,#players:2:vs #genre:sports>baseball #addon:megacd #port:megadrive #based #official:sports #lang:en
ESPN National Hockey Night,ESPN National Hockey Night,espnnationalhockeynight,USA,1994-11,Sony Imagesoft,Sony Imagesoft,#players:4:coop:vs #genre:sports>hockey #addon:megacd:segatap #save:backup #port:megadrive #based #official:sports #lang:en
ESPN NBA Hangtime '95 / ESPN 2on2 Basketball World Tour,ESPN NBA Hangtime '95,espnnbahangtime95,USA,1994,Sony Imagesoft,Sony Imagesoft,#players:4:coop:vs #genre:sports>basketball #addon:megacd:segatap #official:sports #lang:en
ESPN Sunday Night NFL,ESPN Sunday Night NFL,espnsundaynightnfl,USA,1994-11,Sony Imagesoft/Ringler/Absolute,Sony Imagesoft,#players:2:vs #genre:sports>football #addon:megacd #port:megadrive #based #official:sports #lang:en
Eternal Champions: Challenge from the Dark Side@Eternal Champions 武士道　悪 Challenge from the Dark Side,Eternal Champions: Challenge from the Dark Side,eternalchampions,Europe,1995-05,SEGA Interactive,SEGA,#players:2:vs #genre:fighting #addon:megacd:6button #save:backup #port:megadrive #lang:en
Eternal Champions: Challenge from the Dark Side@Eternal Champions 武士道　悪 Challenge from the Dark Side,Eternal Champions: Challenge from the Dark Side,eternalchampions,Europe,,SEGA Interactive,SEGA,#players:2:vs #genre:fighting #addon:megacd:6button #save:backup #port:megadrive #lang:en #unfinished:beta
Eternal Champions: Challenge from the Dark Side@Eternal Champions 武士道　悪 Challenge from the Dark Side,Eternal Champions: Challenge from the Dark Side,eternalchampions,USA,1995-06-06,SEGA Interactive,SEGA,#players:2:vs #genre:fighting #addon:megacd:6button #save:backup #port:megadrive #lang:en
Eternal Champions: Challenge from the Dark Side@Eternal Champions 武士道　悪 Challenge from the Dark Side,Eternal Champions: Challenge from the Dark Side,eternalchampions,USA,,SEGA Interactive,SEGA,#players:2:vs #genre:fighting #addon:megacd:6button #save:backup #port:megadrive #lang:en #rev:1
Eternal Champions: Challenge from the Dark Side@Eternal Champions 武士道　悪 Challenge from the Dark Side,Eternal Champions: Challenge from the Dark Side,eternalchampions,USA,,SEGA Interactive,SEGA,#players:2:vs #genre:fighting #addon:megacd:6button #save:backup #port:megadrive #lang:en #unfinished:beta
Eye of the Beholder,Eye of the Beholder,eyeofthebeholder,Europe,1994-12,Opera House,FCI,#players:1 #genre:dungeoncrawler:rpg #addon:megacd:backupramcart:mouse>md #save:backup #port:pc #based $dnd #lang:en
Eye of the Beholder,Eye of the Beholder,eyeofthebeholder,Japan,1994-04-22,Opera House,Pony Canyon,#players:1 #genre:dungeoncrawler:rpg #addon:megacd:backupramcart:mouse>md #save:backup #port:pc #based $dnd #lang:ja
Eye of the Beholder,Eye of the Beholder,eyeofthebeholder,USA,1994-08,Opera House,FCI,#players:1 #genre:dungeoncrawler:rpg #addon:megacd:backupramcart:mouse>md #save:backup #port:pc #based $dnd #lang:en
F1 Circus CD,F1 Circus CD@F1 Circus CD エフワン　サーカス　シーディー,f1circuscd,Japan,1994-03-18,Cream,Nichibutsu,#players:2:vs #genre:racing:sports>formula1 #addon:megacd:backupramcart #save:backup:password #based #official:sports #lang:ja
Fahrenheit,Fahrenheit,fahrenheit,Europe,1995-05,SEGA/TLA,SEGA,#players:1 #genre:adventure #addon:megacd #lang:en
Fahrenheit,Fahrenheit,fahrenheit,France,1995-05,SEGA/TLA,SEGA,#players:1 #genre:adventure #addon:megacd #lang:fr
Fahrenheit,Fahrenheit@Fahrenheit ファーレンハイト,fahrenheit,Japan,1995-09-01,SEGA/TLA,SEGA,#players:1 #genre:adventure #addon:megacd #lang:ja
Fahrenheit,Fahrenheit,fahrenheit,USA,1995-04,SEGA/TLA,SEGA,#players:1 #genre:adventure #addon:megacd #disc:1>2 #lang:en
Fahrenheit,Fahrenheit,fahrenheit,USA,1995-04,SEGA/TLA,SEGA,#players:1 #genre:adventure #addon:megacd:super32x #disc:2>2 #lang:en
Fatal Fury Special,Fatal Fury Special,garoudensetsuspecial,Europe,1995-07,Funcom,JVC,#players:2:vs #genre:fighting #addon:megacd:6button #port:arcade #lang:en
Fatal Fury Special,Fatal Fury Special,garoudensetsuspecial,Europe,,Funcom,JVC,#players:2:vs #genre:fighting #addon:megacd:6button #port:arcade #lang:en #unfinished:beta
Fatal Fury Special,Fatal Fury Special,garoudensetsuspecial,Europe,,Funcom,JVC,#players:2:vs #genre:fighting #addon:megacd:6button #port:arcade #lang:en #unfinished:demo
Fatal Fury Special,Fatal Fury Special,garoudensetsuspecial,USA,1995-06,Funcom,JVC,#players:2:vs #genre:fighting #addon:megacd:6button #port:arcade #lang:en
FIFA International Soccer,FIFA International Soccer,fifa94,USA,1994,Extended Play,Electronic Arts,#players:4:coop>vs #genre:sports>soccer #addon:megacd:segatap #port:megadrive #endorsed:company #official:sports #lang:en:fr:de:es
FIFA International Soccer,FIFA International Soccer: Championship Edition,fifa94,Europe,1994-06,Extended Play,Electronic Arts,#players:4:coop>vs #genre:sports>soccer #addon:megacd:segatap #port:megadrive #endorsed:company #official:sports #lang:en:fr:de:es
FIFA International Soccer,FIFA International Soccer: Championship Edition,fifa94,Europe,,Extended Play,Electronic Arts,#players:4:coop>vs #genre:sports>soccer #addon:megacd:segatap #port:megadrive #endorsed:company #official:sports #lang:en #unfinished:demo
FIFA International Soccer,FIFA International Soccer: Championship Edition,fifa94,Europe,,Extended Play,Electronic Arts,#players:4:coop>vs #genre:sports>soccer #addon:megacd:segatap #port:megadrive #endorsed:company #official:sports #lang:en #unfinished:demo>alt
