Title,Title (exact),Title screen,Title screen (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Mandinga,=,Mandinga,=,amidar,Spain,1982,Konami,,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:konami #search:tate>cw #lang:en #unlicensed:bootleg #mamerom:amidar>mandingag,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Mandinga,=,Mandinga,=,amidar,Spain,1983,Konami,Artemi,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:konami #search:tate>cw #lang:en #unlicensed:bootleg #mamerom:amidar>mandinga,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Mandinka,=,(Mandinka),=,amidar,,1982,Konami,,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:konami #search:tate>cw #lang:en #unlicensed:bootleg #mamerom:amidar>mandinka,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Olivmandingo,=,Olivmandingo,=,amidar,Spain,1982,Konami,Calfesa,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:konami #search:tate>cw #set:1 #lang:en #unlicensed:bootleg #mamerom:amidar>olmandingo,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Olivmandingo,=,Olivmandingo,=,amidar,Spain,1982,Konami,Calfesa,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:konami #search:tate>cw #set:2 #lang:en #unlicensed:bootleg #mamerom:amidar>olmandingc,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Badlands,Badlands バッドランズ,Badlands,=,badlands,World,1984-08,Konami,Konami/Centuri,#input:buttons>2 #players:2:alt #genre:action #arcadeboard:konami #lang:en,,,,
Battlantis,Battlantis バトランティス,Battlantis,=,battlantis,Japan,1987-07,Konami,Konami,#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup:parlor>mogurataiji #arcadeboard:konami #search:tate>cw #set:1 #lang:en #mamerom:battlnts>battlntsj,2b8c622c45566ef56941b837c28131b0,265a1065925f25d35f5915f787a1bb3cfc504088,bd6b591d181ff2d8a6a3a2d34b5b7d3473729ce5c48b6894cb27afd51c5522f9,fad8084b567ba0be6fbf9fbfff5c77620ba54de3705f9ef3e29dd426b32481b58d649f8bbf371f7a7a73a51d1a3d43f4e23ebd35588619c3c7922e14f16b47f6
Battlantis,=,Battlantis,=,battlantis,World,1987-07,Konami,Konami,#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup:parlor>mogurataiji #arcadeboard:konami #search:tate>cw #set:2 #lang:en #mamerom:battlnts>battlntsa,2b8c622c45566ef56941b837c28131b0,265a1065925f25d35f5915f787a1bb3cfc504088,bd6b591d181ff2d8a6a3a2d34b5b7d3473729ce5c48b6894cb27afd51c5522f9,fad8084b567ba0be6fbf9fbfff5c77620ba54de3705f9ef3e29dd426b32481b58d649f8bbf371f7a7a73a51d1a3d43f4e23ebd35588619c3c7922e14f16b47f6
Battlantis,=,Battlantis,=,battlantis,World,1987,Konami,Konami,#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup:parlor>mogurataiji #arcadeboard:konami #search:tate>cw #set:3 #lang:en #mameparent #mamerom:battlnts,2b8c622c45566ef56941b837c28131b0,265a1065925f25d35f5915f787a1bb3cfc504088,bd6b591d181ff2d8a6a3a2d34b5b7d3473729ce5c48b6894cb27afd51c5522f9,fad8084b567ba0be6fbf9fbfff5c77620ba54de3705f9ef3e29dd426b32481b58d649f8bbf371f7a7a73a51d1a3d43f4e23ebd35588619c3c7922e14f16b47f6
Black Panther,Black Panther ブラックパンサー,Black Panther,=,blackpanther,World,1987-06,Coreland,Konami,#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash #arcadeboard:konami>gx400 #lang:en #mameparent #mamerom:blkpnthr,e985534bf52543eeab049473ac61a702,6c6d8f190369a767b69b06908fa6a17b8234c656,219bd17e01be7d7bc58a32c7d84c2405a1272c2644d9bbadc4660b72f2919b09,61845089a81fb3a4d8c81076a1874f95d367b5889b1fb112846987bd4306f977da8bbd1c270006b1d6f260015da574ffd950a14b345c4258c1ce857dac87aedd
